,Bedrijf,Maand nummer,Probability Maand,Dag nummer,Probability Dag,Uur nummer,Probability Uur
395,PVH Tommy Hilfiger,3,,3,,11,0.0011337374650254
396,PVH Tommy Hilfiger,3,,3,,12,0.0071291270542272
397,PVH Tommy Hilfiger,3,,3,,13,0.0343583830891204
398,PVH Tommy Hilfiger,3,,3,,14,0.0099048220781301
399,PVH Tommy Hilfiger,3,,3,,15,0.0632457822174093
400,PVH Tommy Hilfiger,3,,3,,16,0.0823746584294746
401,PVH Tommy Hilfiger,3,,3,,17,0.1808468685048946
402,PVH Tommy Hilfiger,3,,3,,18,0.2128328172573408
403,PVH Tommy Hilfiger,3,,3,,19,0.1054517696519128
404,PVH Tommy Hilfiger,3,,3,,20,0.1354900233057945
405,PVH Tommy Hilfiger,3,,3,,21,0.0461636277974292
406,PVH Tommy Hilfiger,3,,3,,22,0.0106196064569011
407,PVH Tommy Hilfiger,3,,3,,23,0.0
408,PVH Tommy Hilfiger,3,,4,,0,0.0
409,PVH Tommy Hilfiger,3,,4,,1,0.0
410,PVH Tommy Hilfiger,3,,4,,2,0.0180718626981917
411,PVH Tommy Hilfiger,3,,4,,3,0.0156632113529111
412,PVH Tommy Hilfiger,3,,4,,4,0.0132289126513726
413,PVH Tommy Hilfiger,3,,4,,5,0.0282064441029714
414,PVH Tommy Hilfiger,3,,4,,6,0.0086872455444295
415,PVH Tommy Hilfiger,3,,4,,7,0.0046999605827403
416,PVH Tommy Hilfiger,3,,4,,8,0.0036178833712256
417,PVH Tommy Hilfiger,3,,4,,9,0.0039502997997184
418,PVH Tommy Hilfiger,3,,4,,10,0.0143229565887786
419,PVH Tommy Hilfiger,3,,4,,11,0.0011337374650254
420,PVH Tommy Hilfiger,3,,4,,12,0.0071291270542272
421,PVH Tommy Hilfiger,3,,4,,13,0.0343583830891204
422,PVH Tommy Hilfiger,3,,4,,14,0.0099048220781301
423,PVH Tommy Hilfiger,3,,4,,15,0.0632457822174093
424,PVH Tommy Hilfiger,3,,4,,16,0.0823746584294746
425,PVH Tommy Hilfiger,3,,4,,17,0.1808468685048946
426,PVH Tommy Hilfiger,3,,4,,18,0.2128328172573408
