,Bedrijf,Maand nummer,Probability Maand,Dag nummer,Probability Dag,Uur nummer,Probability Uur,Probability Uur Smart0,Probability Uur Smart1
92,PVH Tommy Hilfiger,1,,4,,20,0.1354900233057945,0.1050459048650052,0.0590212586499389
93,PVH Tommy Hilfiger,1,,4,,21,0.0461636277974292,0.0848258000746033,0.060325033549769
94,PVH Tommy Hilfiger,1,,4,,22,0.0106196064569011,0.0604051187410707,0.0606424025951926
95,PVH Tommy Hilfiger,1,,4,,23,0.0,0.0410614397981484,0.0609691756841019
96,PVH Tommy Hilfiger,1,,5,,0,0.0,0.0223966530687821,0.0611542639966294
97,PVH Tommy Hilfiger,1,,5,,1,0.0,0.0107871822875869,0.0611021969756856
98,PVH Tommy Hilfiger,1,,5,,2,0.0180718626981917,0.0060539045546062,0.0606633968666052
99,PVH Tommy Hilfiger,1,,5,,3,0.0156632113529111,0.0026771435299667,0.0553967278069893
100,PVH Tommy Hilfiger,1,,5,,4,0.0132289126513726,0.0020852629229522,0.0490346341167014
101,PVH Tommy Hilfiger,1,,5,,5,0.0282064441029714,0.0034496836657509,0.0376537679887371
102,PVH Tommy Hilfiger,1,,5,,6,0.0086872455444295,0.00692848644751,0.0264883605304416
103,PVH Tommy Hilfiger,1,,5,,7,0.0046999605827403,0.0105236024264905,0.0227206168898645
104,PVH Tommy Hilfiger,1,,5,,8,0.0036178833712256,0.0108662610478809,0.0188339265506828
105,PVH Tommy Hilfiger,1,,5,,9,0.0039502997997184,0.0126673628875713,0.0197331597630458
106,PVH Tommy Hilfiger,1,,5,,10,0.0143229565887786,0.0119831020770995,0.0183634228992116
107,PVH Tommy Hilfiger,1,,5,,11,0.0011337374650254,0.0123293717762007,0.0184565987457109
108,PVH Tommy Hilfiger,1,,5,,12,0.0071291270542272,0.0240452156869825,0.023998181641239
109,PVH Tommy Hilfiger,1,,5,,13,0.0343583830891204,0.0386824502775727,0.029756531579905
110,PVH Tommy Hilfiger,1,,5,,14,0.0099048220781301,0.0492141392131922,0.0295573437956579
111,PVH Tommy Hilfiger,1,,5,,15,0.0632457822174093,0.0670233886430069,0.032480486491574
112,PVH Tommy Hilfiger,1,,5,,16,0.0823746584294746,0.0830087461070469,0.0383616567552697
113,PVH Tommy Hilfiger,1,,5,,17,0.1808468685048946,0.1033331111624174,0.0459530779725745
114,PVH Tommy Hilfiger,1,,5,,18,0.2128328172573408,0.1145514714949592,0.0528601305918386
115,PVH Tommy Hilfiger,1,,5,,19,0.1054517696519128,0.1160551972435952,0.0564736475626324
116,PVH Tommy Hilfiger,1,,5,,20,0.1354900233057945,0.1050459048650052,0.0590212586499389
117,PVH Tommy Hilfiger,1,,5,,21,0.0461636277974292,0.0848258000746033,0.060325033549769
118,PVH Tommy Hilfiger,1,,5,,22,0.0106196064569011,0.0604051187410707,0.0606424025951926
119,PVH Tommy Hilfiger,1,,5,,23,0.0,0.0410614397981484,0.0609691756841019
120,PVH Tommy Hilfiger,1,,6,,0,0.0,0.0223966530687821,0.0611542639966294
121,PVH Tommy Hilfiger,1,,6,,1,0.0,0.0107871822875869,0.0611021969756856
122,PVH Tommy Hilfiger,1,,6,,2,0.0180718626981917,0.0060539045546062,0.0606633968666052
123,PVH Tommy Hilfiger,1,,6,,3,0.0156632113529111,0.0026771435299667,0.0553967278069893
124,PVH Tommy Hilfiger,1,,6,,4,0.0132289126513726,0.0020852629229522,0.0490346341167014
125,PVH Tommy Hilfiger,1,,6,,5,0.0282064441029714,0.0034496836657509,0.0376537679887371
126,PVH Tommy Hilfiger,1,,6,,6,0.0086872455444295,0.00692848644751,0.0264883605304416
127,PVH Tommy Hilfiger,1,,6,,7,0.0046999605827403,0.0105236024264905,0.0227206168898645
128,PVH Tommy Hilfiger,1,,6,,8,0.0036178833712256,0.0108662610478809,0.0188339265506828
129,PVH Tommy Hilfiger,1,,6,,9,0.0039502997997184,0.0126673628875713,0.0197331597630458
130,PVH Tommy Hilfiger,1,,6,,10,0.0143229565887786,0.0119831020770995,0.0183634228992116
131,PVH Tommy Hilfiger,1,,6,,11,0.0011337374650254,0.0123293717762007,0.0184565987457109
132,PVH Tommy Hilfiger,1,,6,,12,0.0071291270542272,0.0240452156869825,0.023998181641239
133,PVH Tommy Hilfiger,1,,6,,13,0.0343583830891204,0.0386824502775727,0.029756531579905
134,PVH Tommy Hilfiger,1,,6,,14,0.0099048220781301,0.0492141392131922,0.0295573437956579
135,PVH Tommy Hilfiger,1,,6,,15,0.0632457822174093,0.0670233886430069,0.032480486491574
136,PVH Tommy Hilfiger,1,,6,,16,0.0823746584294746,0.0830087461070469,0.0383616567552697
137,PVH Tommy Hilfiger,1,,6,,17,0.1808468685048946,0.1033331111624174,0.0459530779725745
138,PVH Tommy Hilfiger,1,,6,,18,0.2128328172573408,0.1145514714949592,0.0528601305918386
139,PVH Tommy Hilfiger,1,,6,,19,0.1054517696519128,0.1160551972435952,0.0564736475626324
140,PVH Tommy Hilfiger,1,,6,,20,0.1354900233057945,0.1050459048650052,0.0590212586499389
141,PVH Tommy Hilfiger,1,,6,,21,0.0461636277974292,0.0848258000746033,0.060325033549769
142,PVH Tommy Hilfiger,1,,6,,22,0.0106196064569011,0.0604051187410707,0.0606424025951926
143,PVH Tommy Hilfiger,1,,6,,23,0.0,0.0410614397981484,0.0609691756841019
144,PVH Tommy Hilfiger,1,,7,,0,0.0,0.0223966530687821,0.0611542639966294
145,PVH Tommy Hilfiger,1,,7,,1,0.0,0.0107871822875869,0.0611021969756856
146,PVH Tommy Hilfiger,1,,7,,2,0.0180718626981917,0.0060539045546062,0.0606633968666052
147,PVH Tommy Hilfiger,1,,7,,3,0.0156632113529111,0.0026771435299667,0.0553967278069893
148,PVH Tommy Hilfiger,1,,7,,4,0.0132289126513726,0.0020852629229522,0.0490346341167014
149,PVH Tommy Hilfiger,1,,7,,5,0.0282064441029714,0.0034496836657509,0.0376537679887371
150,PVH Tommy Hilfiger,1,,7,,6,0.0086872455444295,0.00692848644751,0.0264883605304416
151,PVH Tommy Hilfiger,1,,7,,7,0.0046999605827403,0.0105236024264905,0.0227206168898645
152,PVH Tommy Hilfiger,1,,7,,8,0.0036178833712256,0.0108662610478809,0.0188339265506828
153,PVH Tommy Hilfiger,1,,7,,9,0.0039502997997184,0.0126673628875713,0.0197331597630458
154,PVH Tommy Hilfiger,1,,7,,10,0.0143229565887786,0.0119831020770995,0.0183634228992116
155,PVH Tommy Hilfiger,1,,7,,11,0.0011337374650254,0.0123293717762007,0.0184565987457109
156,PVH Tommy Hilfiger,1,,7,,12,0.0071291270542272,0.0240452156869825,0.023998181641239
157,PVH Tommy Hilfiger,1,,7,,13,0.0343583830891204,0.0386824502775727,0.029756531579905
158,PVH Tommy Hilfiger,1,,7,,14,0.0099048220781301,0.0492141392131922,0.0295573437956579
159,PVH Tommy Hilfiger,1,,7,,15,0.0632457822174093,0.0670233886430069,0.032480486491574
160,PVH Tommy Hilfiger,1,,7,,16,0.0823746584294746,0.0830087461070469,0.0383616567552697
161,PVH Tommy Hilfiger,1,,7,,17,0.1808468685048946,0.1033331111624174,0.0459530779725745
162,PVH Tommy Hilfiger,1,,7,,18,0.2128328172573408,0.1145514714949592,0.0528601305918386
163,PVH Tommy Hilfiger,1,,7,,19,0.1054517696519128,0.1160551972435952,0.0564736475626324
164,PVH Tommy Hilfiger,1,,7,,20,0.1354900233057945,0.1050459048650052,0.0590212586499389
165,PVH Tommy Hilfiger,1,,7,,21,0.0461636277974292,0.0848258000746033,0.060325033549769
166,PVH Tommy Hilfiger,1,,7,,22,0.0106196064569011,0.0604051187410707,0.0606424025951926
167,PVH Tommy Hilfiger,1,,7,,23,0.0,0.0410614397981484,0.0609691756841019
168,PVH Tommy Hilfiger,2,,1,,0,0.0,0.0223966530687821,0.0611542639966294
169,PVH Tommy Hilfiger,2,,1,,1,0.0,0.0107871822875869,0.0611021969756856
170,PVH Tommy Hilfiger,2,,1,,2,0.0180718626981917,0.0060539045546062,0.0606633968666052
171,PVH Tommy Hilfiger,2,,1,,3,0.0156632113529111,0.0026771435299667,0.0553967278069893
172,PVH Tommy Hilfiger,2,,1,,4,0.0132289126513726,0.0020852629229522,0.0490346341167014
173,PVH Tommy Hilfiger,2,,1,,5,0.0282064441029714,0.0034496836657509,0.0376537679887371
174,PVH Tommy Hilfiger,2,,1,,6,0.0086872455444295,0.00692848644751,0.0264883605304416
175,PVH Tommy Hilfiger,2,,1,,7,0.0046999605827403,0.0105236024264905,0.0227206168898645
176,PVH Tommy Hilfiger,2,,1,,8,0.0036178833712256,0.0108662610478809,0.0188339265506828
177,PVH Tommy Hilfiger,2,,1,,9,0.0039502997997184,0.0126673628875713,0.0197331597630458
178,PVH Tommy Hilfiger,2,,1,,10,0.0143229565887786,0.0119831020770995,0.0183634228992116
179,PVH Tommy Hilfiger,2,,1,,11,0.0011337374650254,0.0123293717762007,0.0184565987457109
180,PVH Tommy Hilfiger,2,,1,,12,0.0071291270542272,0.0240452156869825,0.023998181641239
181,PVH Tommy Hilfiger,2,,1,,13,0.0343583830891204,0.0386824502775727,0.029756531579905
182,PVH Tommy Hilfiger,2,,1,,14,0.0099048220781301,0.0492141392131922,0.0295573437956579
183,PVH Tommy Hilfiger,2,,1,,15,0.0632457822174093,0.0670233886430069,0.032480486491574
184,PVH Tommy Hilfiger,2,,1,,16,0.0823746584294746,0.0830087461070469,0.0383616567552697
185,PVH Tommy Hilfiger,2,,1,,17,0.1808468685048946,0.1033331111624174,0.0459530779725745
186,PVH Tommy Hilfiger,2,,1,,18,0.2128328172573408,0.1145514714949592,0.0528601305918386
187,PVH Tommy Hilfiger,2,,1,,19,0.1054517696519128,0.1160551972435952,0.0564736475626324
188,PVH Tommy Hilfiger,2,,1,,20,0.1354900233057945,0.1050459048650052,0.0590212586499389
189,PVH Tommy Hilfiger,2,,1,,21,0.0461636277974292,0.0848258000746033,0.060325033549769
190,PVH Tommy Hilfiger,2,,1,,22,0.0106196064569011,0.0604051187410707,0.0606424025951926
191,PVH Tommy Hilfiger,2,,1,,23,0.0,0.0410614397981484,0.0609691756841019
192,PVH Tommy Hilfiger,2,,2,,0,0.0,0.0223966530687821,0.0611542639966294
193,PVH Tommy Hilfiger,2,,2,,1,0.0,0.0107871822875869,0.0611021969756856
194,PVH Tommy Hilfiger,2,,2,,2,0.0180718626981917,0.0060539045546062,0.0606633968666052
195,PVH Tommy Hilfiger,2,,2,,3,0.0156632113529111,0.0026771435299667,0.0553967278069893
196,PVH Tommy Hilfiger,2,,2,,4,0.0132289126513726,0.0020852629229522,0.0490346341167014
197,PVH Tommy Hilfiger,2,,2,,5,0.0282064441029714,0.0034496836657509,0.0376537679887371
198,PVH Tommy Hilfiger,2,,2,,6,0.0086872455444295,0.00692848644751,0.0264883605304416
199,PVH Tommy Hilfiger,2,,2,,7,0.0046999605827403,0.0105236024264905,0.0227206168898645
200,PVH Tommy Hilfiger,2,,2,,8,0.0036178833712256,0.0108662610478809,0.0188339265506828
201,PVH Tommy Hilfiger,2,,2,,9,0.0039502997997184,0.0126673628875713,0.0197331597630458
202,PVH Tommy Hilfiger,2,,2,,10,0.0143229565887786,0.0119831020770995,0.0183634228992116
203,PVH Tommy Hilfiger,2,,2,,11,0.0011337374650254,0.0123293717762007,0.0184565987457109
204,PVH Tommy Hilfiger,2,,2,,12,0.0071291270542272,0.0240452156869825,0.023998181641239
205,PVH Tommy Hilfiger,2,,2,,13,0.0343583830891204,0.0386824502775727,0.029756531579905
206,PVH Tommy Hilfiger,2,,2,,14,0.0099048220781301,0.0492141392131922,0.0295573437956579
207,PVH Tommy Hilfiger,2,,2,,15,0.0632457822174093,0.0670233886430069,0.032480486491574
208,PVH Tommy Hilfiger,2,,2,,16,0.0823746584294746,0.0830087461070469,0.0383616567552697
209,PVH Tommy Hilfiger,2,,2,,17,0.1808468685048946,0.1033331111624174,0.0459530779725745
210,PVH Tommy Hilfiger,2,,2,,18,0.2128328172573408,0.1145514714949592,0.0528601305918386
211,PVH Tommy Hilfiger,2,,2,,19,0.1054517696519128,0.1160551972435952,0.0564736475626324
212,PVH Tommy Hilfiger,2,,2,,20,0.1354900233057945,0.1050459048650052,0.0590212586499389
213,PVH Tommy Hilfiger,2,,2,,21,0.0461636277974292,0.0848258000746033,0.060325033549769
214,PVH Tommy Hilfiger,2,,2,,22,0.0106196064569011,0.0604051187410707,0.0606424025951926
215,PVH Tommy Hilfiger,2,,2,,23,0.0,0.0410614397981484,0.0609691756841019
216,PVH Tommy Hilfiger,2,,3,,0,0.0,0.0223966530687821,0.0611542639966294
217,PVH Tommy Hilfiger,2,,3,,1,0.0,0.0107871822875869,0.0611021969756856
218,PVH Tommy Hilfiger,2,,3,,2,0.0180718626981917,0.0060539045546062,0.0606633968666052
219,PVH Tommy Hilfiger,2,,3,,3,0.0156632113529111,0.0026771435299667,0.0553967278069893
220,PVH Tommy Hilfiger,2,,3,,4,0.0132289126513726,0.0020852629229522,0.0490346341167014
221,PVH Tommy Hilfiger,2,,3,,5,0.0282064441029714,0.0034496836657509,0.0376537679887371
222,PVH Tommy Hilfiger,2,,3,,6,0.0086872455444295,0.00692848644751,0.0264883605304416
223,PVH Tommy Hilfiger,2,,3,,7,0.0046999605827403,0.0105236024264905,0.0227206168898645
224,PVH Tommy Hilfiger,2,,3,,8,0.0036178833712256,0.0108662610478809,0.0188339265506828
225,PVH Tommy Hilfiger,2,,3,,9,0.0039502997997184,0.0126673628875713,0.0197331597630458
226,PVH Tommy Hilfiger,2,,3,,10,0.0143229565887786,0.0119831020770995,0.0183634228992116
227,PVH Tommy Hilfiger,2,,3,,11,0.0011337374650254,0.0123293717762007,0.0184565987457109
228,PVH Tommy Hilfiger,2,,3,,12,0.0071291270542272,0.0240452156869825,0.023998181641239
229,PVH Tommy Hilfiger,2,,3,,13,0.0343583830891204,0.0386824502775727,0.029756531579905
230,PVH Tommy Hilfiger,2,,3,,14,0.0099048220781301,0.0492141392131922,0.0295573437956579
231,PVH Tommy Hilfiger,2,,3,,15,0.0632457822174093,0.0670233886430069,0.032480486491574
232,PVH Tommy Hilfiger,2,,3,,16,0.0823746584294746,0.0830087461070469,0.0383616567552697
233,PVH Tommy Hilfiger,2,,3,,17,0.1808468685048946,0.1033331111624174,0.0459530779725745
234,PVH Tommy Hilfiger,2,,3,,18,0.2128328172573408,0.1145514714949592,0.0528601305918386
235,PVH Tommy Hilfiger,2,,3,,19,0.1054517696519128,0.1160551972435952,0.0564736475626324
236,PVH Tommy Hilfiger,2,,3,,20,0.1354900233057945,0.1050459048650052,0.0590212586499389
237,PVH Tommy Hilfiger,2,,3,,21,0.0461636277974292,0.0848258000746033,0.060325033549769
238,PVH Tommy Hilfiger,2,,3,,22,0.0106196064569011,0.0604051187410707,0.0606424025951926
239,PVH Tommy Hilfiger,2,,3,,23,0.0,0.0410614397981484,0.0609691756841019
240,PVH Tommy Hilfiger,2,,4,,0,0.0,0.0223966530687821,0.0611542639966294
241,PVH Tommy Hilfiger,2,,4,,1,0.0,0.0107871822875869,0.0611021969756856
242,PVH Tommy Hilfiger,2,,4,,2,0.0180718626981917,0.0060539045546062,0.0606633968666052
243,PVH Tommy Hilfiger,2,,4,,3,0.0156632113529111,0.0026771435299667,0.0553967278069893
244,PVH Tommy Hilfiger,2,,4,,4,0.0132289126513726,0.0020852629229522,0.0490346341167014
245,PVH Tommy Hilfiger,2,,4,,5,0.0282064441029714,0.0034496836657509,0.0376537679887371
246,PVH Tommy Hilfiger,2,,4,,6,0.0086872455444295,0.00692848644751,0.0264883605304416
247,PVH Tommy Hilfiger,2,,4,,7,0.0046999605827403,0.0105236024264905,0.0227206168898645
248,PVH Tommy Hilfiger,2,,4,,8,0.0036178833712256,0.0108662610478809,0.0188339265506828
249,PVH Tommy Hilfiger,2,,4,,9,0.0039502997997184,0.0126673628875713,0.0197331597630458
250,PVH Tommy Hilfiger,2,,4,,10,0.0143229565887786,0.0119831020770995,0.0183634228992116
251,PVH Tommy Hilfiger,2,,4,,11,0.0011337374650254,0.0123293717762007,0.0184565987457109
252,PVH Tommy Hilfiger,2,,4,,12,0.0071291270542272,0.0240452156869825,0.023998181641239
253,PVH Tommy Hilfiger,2,,4,,13,0.0343583830891204,0.0386824502775727,0.029756531579905
254,PVH Tommy Hilfiger,2,,4,,14,0.0099048220781301,0.0492141392131922,0.0295573437956579
255,PVH Tommy Hilfiger,2,,4,,15,0.0632457822174093,0.0670233886430069,0.032480486491574
256,PVH Tommy Hilfiger,2,,4,,16,0.0823746584294746,0.0830087461070469,0.0383616567552697
257,PVH Tommy Hilfiger,2,,4,,17,0.1808468685048946,0.1033331111624174,0.0459530779725745
258,PVH Tommy Hilfiger,2,,4,,18,0.2128328172573408,0.1145514714949592,0.0528601305918386
259,PVH Tommy Hilfiger,2,,4,,19,0.1054517696519128,0.1160551972435952,0.0564736475626324
260,PVH Tommy Hilfiger,2,,4,,20,0.1354900233057945,0.1050459048650052,0.0590212586499389
261,PVH Tommy Hilfiger,2,,4,,21,0.0461636277974292,0.0848258000746033,0.060325033549769
262,PVH Tommy Hilfiger,2,,4,,22,0.0106196064569011,0.0604051187410707,0.0606424025951926
263,PVH Tommy Hilfiger,2,,4,,23,0.0,0.0410614397981484,0.0609691756841019
264,PVH Tommy Hilfiger,2,,5,,0,0.0,0.0223966530687821,0.0611542639966294
265,PVH Tommy Hilfiger,2,,5,,1,0.0,0.0107871822875869,0.0611021969756856
266,PVH Tommy Hilfiger,2,,5,,2,0.0180718626981917,0.0060539045546062,0.0606633968666052
267,PVH Tommy Hilfiger,2,,5,,3,0.0156632113529111,0.0026771435299667,0.0553967278069893
268,PVH Tommy Hilfiger,2,,5,,4,0.0132289126513726,0.0020852629229522,0.0490346341167014
269,PVH Tommy Hilfiger,2,,5,,5,0.0282064441029714,0.0034496836657509,0.0376537679887371
270,PVH Tommy Hilfiger,2,,5,,6,0.0086872455444295,0.00692848644751,0.0264883605304416
271,PVH Tommy Hilfiger,2,,5,,7,0.0046999605827403,0.0105236024264905,0.0227206168898645
272,PVH Tommy Hilfiger,2,,5,,8,0.0036178833712256,0.0108662610478809,0.0188339265506828
273,PVH Tommy Hilfiger,2,,5,,9,0.0039502997997184,0.0126673628875713,0.0197331597630458
